"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"PetroChina Blend","PXB","2019-03-02","PXB-070","Edmonton","928.3","20.8","2.56","6.4","","1.76","","40.3","107","0.05","0.63","1.03","1.48","1.44","2.02","2.15","1.46","0.02","0.1","0.06","0.25","0.02","0.4","0.7","1.06","1.07","1.54","1.67","1.15","0.02","0.09","0.06","0.23","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2019-02-03","PXB-063","Edmonton","927","21","2.49","6.2","76.8","1.72","3.2","41.6","114","0","0.52","0.9","1.3","1.32","1.9","2.07","1.45","0.02","0.09","0.06","0.22","0","0.33","0.61","0.93","0.98","1.45","1.61","1.15","0.02","0.08","0.06","0.21","137.9","184.3","250.9","298","337.7","377","418.9","467.3","558.5","701.5","","",""
"PetroChina Blend","PXB","2019-01-06","PXB-057","Edmonton","922.4","21.8","2.32","6.1","","1.68","","35.4","100","0.05","0.71","1.1","1.54","1.49","2.18","3.13","2.19","0.02","0.1","0.07","0.28","0.02","0.45","0.75","1.11","1.11","1.67","2.45","1.74","0.02","0.09","0.07","0.26","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2018-12-02","PXB-048","Edmonton","929","20.7","2.56","6.5","","1.78","","37.1","105","0.05","0.55","0.96","1.43","1.43","2.03","2.29","1.61","0.02","0.11","0.06","0.26","0.02","0.35","0.65","1.02","1.06","1.54","1.78","1.27","0.02","0.1","0.06","0.24","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2018-11-08","PXB-045","Edmonton","932.1","20.2","2.77","7","19","2.07","3.1","45.3","118","0.05","0.48","0.82","1.24","1.22","1.64","1.73","1.16","0.03","0.11","0.05","0.21","0.02","0.3","0.55","0.88","0.9","1.24","1.34","0.91","0.03","0.1","0.05","0.2","134","184.6","256.5","308.3","354.5","402.6","454.7","536.7","671.6","","","",""
"PetroChina Blend","PXB","2018-09-17","PXB-076","Edmonton","926.3","21.1","2.57","6.5","","1.8","","42.6","107","0","0.48","0.79","1.21","1.25","1.94","3.08","2.48","0.01","0.09","0.07","0.27","0","0.3","0.54","0.87","0.93","1.48","2.4","1.96","0.01","0.08","0.07","0.25","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2018-08-13","PXB-069","Edmonton","929.6","20.6","2.66","6.6","48.8","1.88","2.5","55.7","138","0.02","0.51","0.83","1.28","1.33","2.12","2.8","2.15","0.02","0.1","0.07","0.28","0.01","0.32","0.56","0.91","0.98","1.61","2.17","1.7","0.02","0.09","0.07","0.26","153.4","184.2","251.9","304.4","348.5","391.6","436.7","503.9","628.2","","","",""
"PetroChina Blend","PXB","2018-07-21","PXB-067","Edmonton","927.3","21","2.36","6","","1.86","","38.8","104","0.05","0.72","1.1","1.57","1.55","2.22","2.16","1.56","0.02","0.11","0.07","0.27","0.02","0.45","0.75","1.12","1.15","1.69","1.68","1.23","0.02","0.1","0.07","0.25","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2018-06-13","PXB-062","Edmonton","931.1","20.3","2.68","6.8","","2.12","","46.5","115","0.05","0.68","1.13","1.59","1.63","2.4","2.62","1.6","0.02","0.06","0.06","0.16","0.02","0.43","0.76","1.13","1.2","1.82","2.03","1.26","0.02","0.06","0.06","0.15","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2018-05-12","PXB-058","Edmonton","914.8","23","2","5","68.1","1.67","2.5","30.3","83.4","0","0.61","1.13","1.63","1.65","2.32","2.7","1.75","0.02","0.09","0.07","0.2","0","0.39","0.78","1.18","1.24","1.79","2.13","1.4","0.02","0.09","0.07","0.19","132.6","176.6","239.4","286.5","325.4","364.6","406.6","453.3","543.5","712.6","","",""
"PetroChina Blend","PXB","2018-04-08","PXB-054","Edmonton","926.8","21","2.49","6","","1.78","","41.2","102","0.03","0.68","1.09","1.51","1.46","2.07","2.18","1.44","0.02","0.1","0.06","0.24","0.01","0.43","0.74","1.08","1.08","1.58","1.7","1.14","0.02","0.09","0.06","0.22","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2018-03-05","PXB-046","Edmonton","916","22.8","2.06","5.1","","1.63","","31.4","89.5","0","0.71","1.17","1.66","1.71","2.42","2.68","1.9","0.02","0.12","0.08","0.3","0","0.45","0.8","1.2","1.28","1.87","2.11","1.52","0.02","0.11","0.08","0.28","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2018-02-17","PXB-041","Edmonton","924.6","21.4","2.43","6.1","136.8","1.8","1.9","40.1","103","0.05","0.74","1.09","1.56","1.55","2.26","2.68","1.77","0.03","0.12","0.08","0.25","0.02","0.47","0.74","1.12","1.15","1.73","2.09","1.4","0.03","0.11","0.08","0.23","144.6","188.4","255.4","303.9","346","387.8","430.3","493.7","618.1","","","",""
"PetroChina Blend","PXB","2018-01-22","PXB-036","Edmonton","927.2","21","2.49","6.2","","1.85","","41.6","110","0.02","0.71","1.07","1.62","1.55","2.15","2.24","1.53","0.04","0.13","0.07","0.29","0.01","0.45","0.73","1.16","1.15","1.64","1.74","1.21","0.04","0.12","0.07","0.27","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2017-12-25","PXB-031","Edmonton","929.8","20.6","2.71","6.6","","2.02","","43.6","115","0.02","0.98","1.16","1.89","1.85","2.25","2.37","1.56","0.08","0.21","0.1","0.32","0.01","0.62","0.78","1.35","1.37","1.71","1.84","1.23","0.08","0.2","0.09","0.3","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2017-12-15","PXB-622","Edmonton","930.3","20.5","2.88","7.3","115.3","1.95","4.5","46.6","123","0.07","0.97","2.83","2.68","2.14","2.17","1.6","0.88","0.11","0.23","0.07","0.32","0.03","0.61","1.91","1.91","1.58","1.65","1.24","0.69","0.1","0.22","0.07","0.3","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2017-11-06","PXB-024","Edmonton","933.9","19.9","2.71","6.7","56.9","2","2.4","45.3","121","0.04","0.81","1.01","1.48","1.39","1.77","1.83","1.04","0.04","0.12","0.05","0.17","0.02","0.51","0.68","1.05","1.02","1.34","1.41","0.82","0.04","0.11","0.05","0.16","138.4","197.6","269.3","319.9","364","408.4","456","526.2","649.2","","","",""
"PetroChina Blend","PXB","2017-10-23","PXB-023","Edmonton","938","19.2","2.87","6.9","","2.18","","52.6","137","0.05","0.69","1.11","1.61","1.53","2.02","1.86","1.04","0.03","0.1","0.05","0.19","0.02","0.43","0.74","1.14","1.12","1.52","1.43","0.81","0.03","0.09","0.05","0.18","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2017-10-16","PXB-022","Edmonton","932.8","20.1","2.72","6.9","139.8","2.2","2.2","52.7","137","0.07","0.64","0.95","1.43","1.42","1.86","2.41","1.56","0.05","0.13","0.06","0.23","0.03","0.4","0.64","1.02","1.05","1.41","1.86","1.23","0.05","0.12","0.06","0.21","150.9","195.2","264.3","313.6","355.2","396.9","444.3","515.6","626.8","","","",""
