"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","Olefins (wt%)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Mixed Sweet Blend","MSW","2011-12-25","SW-722","Edmonton","827.2","39.4","0.43","2.4","","","","0.59","4.43","3.07","5.15","6.51","6.85","5.63","2.39","0.22","0.63","0.24","0.93","0.35","3.12","2.33","4.13","5.41","5.85","4.91","2.12","0.24","0.66","0.25","0.97","79.1","102.1","145.6","196.8","249.4","300.7","350.9","408.1","468.2","551.8","614.5","693.6",""
"Mixed Sweet Blend","MSW","2011-11-12","SW-943","Edmonton","830","38.8","0.44","2.1","5","9","","0.5","4.08","3.12","5.25","6.46","6.63","5.19","2.42","0.23","0.67","0.23","0.91","0.3","2.87","2.36","4.19","5.35","5.64","4.51","2.14","0.24","0.7","0.24","0.95","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2011-11-05","SW-677","Edmonton","830","38.8","0.41","2","","","","0.45","4.14","3.02","5.32","6.64","6.62","5.05","2.37","0.23","0.73","0.21","0.96","0.27","2.91","2.29","4.25","5.5","5.63","4.39","2.09","0.24","0.77","0.22","1","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2011-10-27","SW-892","Edmonton","831.6","38.5","0.41","1.9","4","9","","0.46","3.84","2.83","4.59","5.64","5.96","4.93","2.06","0.19","0.56","0.22","0.83","0.28","2.7","2.14","3.66","4.66","5.06","4.28","1.82","0.2","0.59","0.23","0.87","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2011-10-16","SW-707","Edmonton","829.2","39","0.43","2","","","","0.49","3.98","2.89","4.87","6.01","6.17","5.01","2.08","0.21","0.64","0.22","0.88","0.3","2.8","2.19","3.9","4.98","5.26","4.36","1.84","0.22","0.67","0.23","0.92","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2011-09-25","SW-993","Edmonton","831.4","38.6","0.42","1.9","4","9","","0.33","3.36","2.58","5.41","7.32","7.64","6.14","2.85","0.24","0.85","0.25","1.18","0.2","2.36","1.95","4.32","6.05","6.49","5.33","2.51","0.26","0.89","0.26","1.23","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2011-09-16","SW-725","Edmonton","835","37.8","0.45","2","","","","0.32","3.68","2.77","5.4","7.3","7.65","6.11","2.84","0.26","0.9","0.26","1.23","0.19","2.58","2.09","4.29","6.01","6.48","5.28","2.5","0.28","0.94","0.27","1.28","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2011-08-26","SW-632","Edmonton","825.2","39.8","0.43","2","5","9","","0.54","4.81","3.58","5.61","6.65","6.47","4.79","1.95","0.27","0.76","0.22","1.03","0.32","3.41","2.73","4.52","5.55","5.54","4.19","1.73","0.29","0.8","0.23","1.08","48.1","82.7","127.5","177.8","233.6","288.6","340.3","399.4","463.4","553.8","622.3","692.9",""
"Mixed Sweet Blend","MSW","2011-08-16","SW-666","Edmonton","824.3","40","0.45","2","","","ND","0.59","5.1","3.33","5.85","6.95","6.62","4.76","1.88","0.29","0.84","0.23","1.06","0.35","3.62","2.54","4.71","5.8","5.67","4.17","1.67","0.31","0.89","0.24","1.12","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2011-07-28","SW-837","Edmonton","825.3","39.8","0.44","2.1","5","8","","0.49","4.37","3.11","5.6","7.04","7.06","5.63","2.42","0.24","0.76","0.24","1.11","0.29","3.08","2.37","4.5","5.86","6.04","4.92","2.15","0.26","0.8","0.25","1.17","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2011-07-17","SW-932","Edmonton","823.3","40.2","0.45","2","","","","0.44","4.18","3.07","5.62","7.07","7.06","5.42","2.29","0.25","0.82","0.24","1.15","0.27","2.96","2.34","4.53","5.9","6.06","4.75","2.04","0.27","0.87","0.25","1.21","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2011-06-28","SW-913","Edmonton","825.2","39.8","0.4","1.9","5","8","","0.47","4.32","3.1","5.29","6.73","6.87","5.4","2.49","0.24","0.73","0.23","1.02","0.28","3.06","2.36","4.26","5.61","5.89","4.73","2.22","0.26","0.77","0.24","1.07","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2011-06-18","SW-892","Edmonton","828.2","39.2","0.42","2","","","","0.49","3.83","2.81","5.21","6.67","6.73","5.18","2.36","0.23","0.77","0.22","1.06","0.29","2.7","2.13","4.18","5.54","5.75","4.52","2.09","0.25","0.81","0.23","1.11","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2011-05-23","SW-792","Edmonton","827.5","39.4","0.42","1.9","","","","0.47","4.13","3.08","5.84","7.61","7.77","6.14","2.82","0.27","0.91","0.27","1.22","0.28","2.91","2.34","4.68","6.32","6.63","5.35","2.5","0.29","0.96","0.28","1.28","62.3","88","134.8","189.5","247.6","301.8","358.3","419.4","487.7","592.3","685.1","",""
