"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","Olefins (wt%)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Mixed Sweet Blend","MSW","2017-10-01","MSW-846","Edmonton","813.8","42.2","0.42","1.8","3.8","6.8","ND","0.47","4.96","4.25","6.34","7.38","5.35","3.88","","0.24","0.86","0.18","1.14","0.29","3.55","3.28","5.17","6.23","4.64","3.44","-","0.26","0.92","0.19","1.21","27.8","68.7","113.5","160.1","217.1","275.3","332.9","397.9","470.1","576","664.8","",""
"Mixed Sweet Blend","MSW","2017-09-04","MSW-684","Edmonton","811.8","42.7","0.44","2","4.8","9.4","","0.51","4.92","4.62","6.73","7.11","5.56","3.99","","0.26","0.93","0.17","1.2","0.31","3.53","3.57","5.5","6.02","4.84","3.54","-","0.28","1","0.18","1.28","27.8","68.7","110.4","150.8","204.8","265.1","323.8","389.8","461.2","562.2","641.4","",""
"Mixed Sweet Blend","MSW","2017-08-06","MSW-814","Edmonton","813.5","42.3","0.52","2.3","4.6","10.3","","0.34","4.37","5.08","7.05","7.3","5.67","4.06","","0.26","0.92","0.18","1.24","0.21","3.13","3.92","5.75","6.17","4.92","3.6","-","0.28","0.99","0.19","1.32","27.8","68.7","110.4","150.8","201.2","263","325.1","393","466.9","570.1","651.2","",""
"Mixed Sweet Blend","MSW","2017-07-07","MSW-895","Edmonton","821.8","40.5","0.3","1.5","2.6","4.7","","0.39","3.92","3.49","6.19","7.07","6.04","4.03","","0.26","0.97","0.2","1.25","0.24","2.78","2.67","4.99","5.91","5.19","3.54","-","0.28","1.03","0.21","1.32","36.1","76.7","119.6","161.7","216.7","274.7","333.4","398.3","465.7","559.7","631.1","",""
"Mixed Sweet Blend","MSW","2017-06-02","MSW-882","Edmonton","823.7","40.1","0.43","2.2","5","9.4","","0.21","3.93","3.97","5.85","6.93","5.32","3.83","","0.2","0.76","0.15","1.09","0.13","2.79","3.03","4.71","5.79","4.56","3.36","-","0.21","0.8","0.16","1.15","36.1","76.7","124.5","170","227.5","283.7","335.4","390.6","466.2","570.3","650.6","",""
"Mixed Sweet Blend","MSW","2017-05-03","MSW-880","Edmonton","820.4","40.8","0.52","1.8","5.2","12","","0.47","4.73","4.12","5.28","8.57","5.33","3.81","","0.26","0.9","0.19","1.16","0.29","3.36","3.16","4.27","7.18","4.59","3.35","-","0.28","0.96","0.2","1.23","27.8","68.7","117.7","159.4","219.6","280","340.7","406.4","479.5","579","649.3","",""
"Mixed Sweet Blend","MSW","2017-04-08","MSW-693","Edmonton","822.2","40.5","0.44","2","4.3","8.1","","0.41","4.58","3.84","5.01","7.87","5.21","3.76","","0.22","0.76","0.18","1.02","0.25","3.25","2.93","4.04","6.58","4.48","3.3","-","0.24","0.81","0.19","1.08","36.1","76.7","124.1","164.9","223.8","284.9","344.7","410.7","482.5","588.2","686.4","",""
"Mixed Sweet Blend","MSW","2017-03-04","MSW-943","Edmonton","819","41.1","0.45","1.8","3.7","8","","0.54","5.16","4.39","5.85","9.53","5.75","4.17","","0.28","0.98","0.22","1.28","0.32","3.67","3.37","4.74","8","4.96","3.67","-","0.3","1.04","0.23","1.35","27.8","68.7","103.5","145","201.9","262.1","318.6","381.6","448.8","535.8","601.5","",""
"Mixed Sweet Blend","MSW","2017-02-02","MSW-716","Edmonton","824.6","40","0.42","1.9","3.8","8.9","","0.57","4.95","3.89","5.32","8.88","5.19","3.58","","0.27","0.94","0.2","1.19","0.34","3.5","2.97","4.28","7.41","4.45","3.13","-","0.29","0.99","0.21","1.25","27.8","68.7","115.8","160.1","219.1","277.1","333.6","396.3","461.3","548.9","611.5","687.1",""
"Mixed Sweet Blend","MSW","2017-01-16","MSW-880","Edmonton","815.8","41.8","0.47","1.6","4.1","8.1","","0.5","4.66","4.22","5.5","8.98","4.82","3.02","","0.27","0.91","0.2","1.19","0.3","3.33","3.25","4.47","7.56","4.17","2.67","-","0.29","0.97","0.21","1.26","27.8","68.7","111.8","155.9","211.9","266.1","320.4","378.1","442.7","537","600.9","681.1",""
