"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Peace","MPR","2018-08-02","MPR-758","Edmonton","806.5","43.8","0.44","1.1","2.4","6.5","0.59","4.24","4.19","6.98","8.04","8.33","6.32","3.37","0.27","0.9","0.24","1.33","0.36","3.06","3.27","5.74","6.85","7.3","5.65","3.07","0.3","0.97","0.26","1.43","36.8","69.4","106.4","150.5","192","245.6","302.1","362.9","433.8","531.6","610.9","",""
"Peace","MPR","2018-07-05","MPR-721","Edmonton","803.7","44.4","0.34","1","1.6","4.4","0.57","4.12","4.23","6.84","7.93","8.15","6.29","3.08","0.23","0.77","0.18","1.09","0.35","2.99","3.31","5.65","6.79","7.17","5.65","2.81","0.25","0.84","0.2","1.18","","","","","","","","","","","","",""
"Peace","MPR","2018-06-04","MPR-695","Edmonton","813.9","42.2","0.4","1.1","2","4.9","0.66","3.81","3.87","6.34","7.32","7.63","5.78","2.87","0.24","0.76","0.22","1.07","0.4","2.73","2.99","5.17","6.18","6.62","5.12","2.58","0.26","0.81","0.24","1.14","","","","","","","","","","","","",""
"Peace","MPR","2018-05-03","MPR-466","Edmonton","816.9","41.6","0.49","1.3","3","8.5","0.5","3.15","3.86","6.14","7.02","7.46","6.18","3.5","0.24","0.74","0.23","1.03","0.3","2.25","2.97","4.98","5.9","6.45","5.45","3.14","0.26","0.79","0.25","1.09","57.9","101.2","139.1","178.8","226.3","282.9","340","402.3","479","599.3","","",""
"Peace","MPR","2018-04-01","MPR-431","Edmonton","813.6","42.3","0.5","1.4","2.3","7.8","0.58","4.49","3.77","6.32","7.22","7.61","6.25","3.49","0.27","0.85","0.26","1.21","0.35","3.22","2.91","5.16","6.1","6.61","5.54","3.15","0.29","0.91","0.28","1.29","","","","","","","","","","","","",""
"Peace","MPR","2018-03-01","MPR-810","Edmonton","817","41.6","0.47","1.4","3.3","7.3","0.58","3.11","3.98","6.74","7.87","8.18","6.51","3.5","0.29","0.95","0.27","1.35","0.35","2.22","3.06","5.47","6.62","7.07","5.75","3.14","0.31","1.01","0.29","1.43","","","","","","","","","","","","",""
"Peace","MPR","2018-02-01","MPR-769","Edmonton","812.8","42.4","0.46","1.4","2.6","7.2","0.58","4.43","3.62","6.14","7.19","7.57","6.46","3.87","0.27","0.84","0.25","1.22","0.35","3.17","2.8","5.01","6.08","6.57","5.73","3.49","0.29","0.9","0.27","1.3","36","77.4","122.5","166.8","204.7","262.5","319.5","384.7","458.4","566.9","660","",""
"Peace","MPR","2018-01-06","MPR-741","Edmonton","812.2","42.6","0.46","1.3","2.5","6.8","0.68","4.64","3.71","6.3","7.3","7.57","5.84","3.27","0.28","0.87","0.25","1.24","0.41","3.33","2.87","5.15","6.18","6.58","5.19","2.95","0.3","0.93","0.27","1.32","","","","","","","","","","","","",""
"Peace","MPR","2017-12-02","MPR-706","Edmonton","813","42.4","0.49","1.3","2.7","7.4","0.45","4.26","3.56","5.75","6.71","7.17","7.01","4.37","0.2","0.63","0.18","0.86","0.28","3.05","2.75","4.69","5.67","6.23","6.22","3.94","0.22","0.67","0.19","0.92","45.4","79.2","131.2","169.1","206.1","261.6","319.1","385.4","462.5","576.1","679.4","",""
"Peace","MPR","2017-11-06","MPR-684","Edmonton","810","43","0.51","1","2.8","8.1","0.61","4.78","3.85","6.39","7.32","7.84","6.2","3.03","0.23","0.72","0.21","1.06","0.37","3.44","2.99","5.23","6.21","6.83","5.52","2.74","0.25","0.77","0.23","1.13","42.7","88.4","132","177.1","230.7","286.4","342.8","406.1","487.7","618.1","","",""
"Peace","MPR","2017-10-02","MPR-643","Edmonton","810","43","0.43","1.1","2.3","5.3","0.61","4.2","3.89","6.57","7.67","7.79","5.96","2.87","0.26","0.83","0.2","1.06","0.37","3.02","3.02","5.38","6.51","6.79","5.31","2.6","0.28","0.89","0.21","1.13","","","","","","","","","","","","",""
