"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Bow River North","BRN","2018-12-03","BRN-041","Hardisty","923.7","21.6","2.9","10.6","","0.95","","49.4","105","0.23","3.68","4.91","4.5","3.41","3.15","2.32","1.07","0.13","0.27","0.1","0.37","0.12","2.32","3.34","3.23","2.54","2.41","1.81","0.85","0.12","0.25","0.09","0.35","","","","","","","","","","","","",""
"Bow River North","BRN","2018-11-11","BRN-328","Hardisty","924.6","21.4","2.77","10.6","","0.85","","44","93.1","0.19","3.3","3.81","3.83","3.09","2.95","2.24","1.03","0.08","0.22","0.1","0.33","0.1","2.08","2.59","2.75","2.3","2.25","1.75","0.82","0.08","0.21","0.09","0.31","","","","","","","","","","","","",""
"Bow River North","BRN","2018-10-03","BRN-178","Hardisty","930.4","20.5","2.9","10.5","389.1","0.93","14","43.4","99.1","0.2","2.34","4.15","3.87","3.07","2.79","1.97","1","0.11","0.25","0.09","0.31","0.1","1.47","2.8","2.76","2.27","2.12","1.53","0.79","0.1","0.23","0.08","0.29","86.1","143.7","275.4","367.1","433.7","491","550.1","619.7","711.8","","","",""
"Bow River North","BRN","2018-09-14","BRN-174","Hardisty","934.1","19.9","2.98","10.9","","0.81","","43.7","98.2","0.14","1.62","4.11","3.89","3.06","2.94","2.23","1.06","0.1","0.24","0.1","0.33","0.07","1.01","2.76","2.76","2.25","2.22","1.72","0.83","0.09","0.22","0.09","0.31","","","","","","","","","","","","",""
"Bow River North","BRN","2018-08-01","BRN-240","Hardisty","933","20","2.91","10.8","","0.91","","46","101","0.15","2.19","4.41","3.84","2.93","2.67","1.98","1.03","0.11","0.22","0.09","0.3","0.08","1.37","2.97","2.73","2.16","2.02","1.53","0.81","0.1","0.21","0.08","0.28","","","","","","","","","","","","",""
"Bow River North","BRN","2018-07-01","BRN-227","Hardisty","930.6","20.4","3.25","10.5","310","1.14","11.3","50.7","119","0.2","2.5","5","3.87","2.9","2.57","1.91","0.89","0.08","0.15","0.05","0.19","0.1","1.57","3.38","2.76","2.14","1.95","1.48","0.7","0.08","0.14","0.05","0.18","54.1","128.2","267.8","355.1","425.3","487.3","554","631.1","717.5","","","",""
"Bow River North","BRN","2018-06-11","BRN-199","Hardisty","930.9","20.4","3.18","10.3","","1.1","","44.5","107","0.11","1.98","4.99","3.83","2.86","2.53","1.97","1","0.09","0.16","0.05","0.21","0.06","1.24","3.37","2.73","2.11","1.92","1.53","0.79","0.09","0.15","0.05","0.2","","","","","","","","","","","","",""
"Bow River North","BRN","2018-05-06","BRN-292","Hardisty","924.2","21.5","3.09","10","","0.99","","46.4","105","0.21","2.68","5.05","3.97","2.81","2.51","1.92","0.95","0.09","0.15","0.06","0.18","0.11","1.69","3.43","2.85","2.09","1.92","1.5","0.75","0.09","0.14","0.06","0.17","","","","","","","","","","","","",""
"Bow River North","BRN","2018-03-12","BRN-610","Hardisty","925.6","21.2","3.19","10.5","","0.94","","46.3","110","0.13","1.83","7.25","5.05","3.23","2.46","1.67","0.85","0.16","0.28","0.07","0.3","0.07","1.15","4.92","3.62","2.4","1.88","1.3","0.67","0.15","0.26","0.07","0.28","","","","","","","","","","","","",""
"Bow River North","BRN","2018-02-06","BRN-280","Hardisty","928.3","20.8","2.91","10.8","","0.88","","43","98.3","0.13","1.22","5.49","4.42","3.16","2.64","1.89","1.04","0.14","0.25","0.09","0.31","0.07","0.77","3.71","3.16","2.34","2.01","1.47","0.82","0.13","0.23","0.08","0.29","","","","","","","","","","","","",""
